Year,"HONEY - PRODUCTION, MEASURED IN LB","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES"
1990,198611000,3220000
1991,221025000,3211000
1992,221658000,3045000
1993,230664000,2875000
1994,218057000,2783000
1995,211165000,2655000
1996,199569000,2581000
1997,196437000,2631000
1998,220527000,2637000
1999,203068000,2652000
2000,220286000,2622000
2001,186051000,2550000
2002,171718000,2574000
2003,181724000,2599000
2004,183494000,2554000
2005,174614000,2409000
2006,154910000,2394000
2007,148341000,2443000
2008,163789000,2342000
2009,146416000,2498000
2010,176462000,2692000
2011,148357000,2491000
2012,142296000,2539000
2013,149550000,2641000
2014,178310000,2741000
2015,156705000,2661000
2016,162246000,2780000
2017,149025000,2684000
2018,154008000,2828000
2019,156922000,2812000
2020,147594000,2706000
