Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More
,,,,,,
United States                 ,1451579,977863,27104,19061,427551,15883
Northeast Region              ,134022,57971,4340,3152,68559,3069
New England Division          ,34683,19125,1218,652,13688,771
Connecticut                   ,5767,2938,136,39,2654,124
Maine                         ,5628,4584,222,81,741,43
Massachusetts                 ,15808,6443,526,344,8495,498
New Hampshire                 ,3951,2917,128,30,876,38
Rhode Island                  ,1329,958,162,94,115,17
Vermont                       ,2200,1285,44,64,807,51
Middle Atlantic Division      ,99339,38846,3122,2500,54871,2298
New Jersey                    ,34968,12291,1198,620,20859,1021
New York                      ,38113,10123,1054,478,26458,929
Pennsylvania                  ,26258,16432,870,1402,7554,348
Midwest Region                ,198672,129775,4992,2540,61365,2462
East North Central Division   ,110170,74461,2856,1563,31290,1509
Illinois                      ,17831,9719,392,501,7219,267
Indiana                       ,23963,18531,614,170,4648,206
Michigan                      ,19642,14959,350,183,4150,306
Ohio                          ,29127,18743,538,605,9241,432
Wisconsin                     ,19607,12509,962,104,6032,298
West North Central Division   ,88502,55314,2136,977,30075,953
Iowa                          ,12535,9902,254,73,2306,77
Kansas                        ,7540,5566,428,91,1455,59
Minnesota                     ,30753,16173,396,150,14034,359
Missouri                      ,18517,12249,564,418,5286,199
Nebraska                      ,9348,5734,230,72,3312,133
North Dakota                  ,3327,2049,174,21,1083,22
South Dakota                  ,6482,3641,90,152,2599,104
South Region                  ,761455,560398,10664,6972,183421,6097
South Atlantic Division       ,405331,301692,4304,2796,96539,3202
Delaware                      ,8456,7102,310,71,973,77
District of Columbia          ,7370,139,94,4,7133,52
Florida                       ,162592,115782,2158,1353,43299,1305
Georgia                       ,53131,45984,650,443,6054,271
Maryland                      ,18429,13365,42,17,5005,126
North Carolina                ,75411,56898,298,455,17760,670
South Carolina                ,41645,35716,312,87,5530,250
Virginia                      ,34454,23871,412,299,9872,327
West Virginia                 ,3843,2835,28,67,913,124
East South Central Division   ,88057,66503,974,1533,19047,663
Alabama                       ,19326,16741,108,188,2289,140
Kentucky                      ,11386,9038,388,267,1693,92
Mississippi                   ,8210,7510,58,115,527,48
Tennessee                     ,49135,33214,420,963,14538,383
West South Central Division   ,268067,192203,5386,2643,67835,2232
Arkansas                      ,12110,8533,798,812,1967,163
Louisiana                     ,17759,16528,556,59,616,26
Oklahoma                      ,13842,12230,406,69,1137,92
Texas                         ,224356,154912,3626,1703,64115,1951
West Region                   ,357430,229719,7108,6397,114206,4255
Mountain Division             ,184943,132068,3530,3355,45990,1810
Arizona                       ,58155,41672,990,288,15205,534
Colorado                      ,46844,32982,820,318,12724,363
Idaho                         ,17719,13690,316,724,2989,166
Montana                       ,4714,2516,398,423,1377,82
Nevada                        ,19710,13700,586,641,4783,274
New Mexico                    ,5244,4424,12,29,779,85
Utah                          ,30574,21425,368,883,7898,289
Wyoming                       ,1983,1659,40,49,235,17
Pacific Division              ,172487,97651,3578,3042,68216,2445
Alaska                        ,1392,1032,54,86,220,17
California                    ,105925,60824,1968,1648,41485,1402
Hawaii                        ,3364,2204,30,42,1088,29
Oregon                        ,17744,10547,392,90,6715,306
Washington                    ,44062,23044,1134,1176,18708,691
